t,pos,reward,action,layer_outputs
61,4.288660813056021,-4.288660813056021,0,"[-0.021197857335209846, -0.021314291283488274, -0.022365007549524307, -0.021245349198579788, -0.01901467889547348, -0.019534597173333168]"
62,4.302108116240629,-4.302108116240629,0,"[-0.058399513363838196, -0.058388132601976395, -0.058283619582653046, -0.05839487537741661, -0.05862068384885788, -0.05856760963797569]"
63,4.2851606585882385,-4.2851606585882385,0,"[-0.03616240993142128, -0.03622523322701454, -0.03678892180323601, -0.03618762642145157, -0.03499024361371994, -0.035269156098365784]"
64,4.235996909648647,-4.235996909648647,0,"[-0.08654990792274475, -0.0864543542265892, -0.08559852838516235, -0.08651121705770493, -0.0883156880736351, -0.08789639174938202]"
65,4.261269387553272,-4.261269387553272,0,"[-0.10159874707460403, -0.10146778076887131, -0.10028793662786484, -0.10154469311237335, -0.10402753204107285, -0.10345202684402466]"
66,4.266813015285288,-4.266813015285288,0,"[0.004053395241498947, 0.003863224061205983, 0.00216026627458632, 0.0039748759008944035, 0.007547182962298393, 0.0067203897051513195]"
67,4.259354002200615,-4.259354002200615,0,"[-0.07904894649982452, -0.07897699624300003, -0.0783398449420929, -0.07901880145072937, -0.0803646445274353, -0.08005204051733017]"
68,4.263271980475315,-4.263271980475315,0,"[-0.05414097383618355, -0.05414905771613121, -0.05421796441078186, -0.05414479970932007, -0.05399886518716812, -0.05403248220682144]"
69,4.27919146163266,-4.27919146163266,0,"[-0.051735084503889084, -0.051746632903814316, -0.051853109151124954, -0.05173936486244202, -0.051514774560928345, -0.051567401736974716]"
70,4.271841838773874,-4.271841838773874,0,"[-0.03531387448310852, -0.03537459298968315, -0.03591585159301758, -0.03533869609236717, -0.034193336963653564, -0.034458961337804794]"
71,4.240254825839713,-4.240254825839713,0,"[-0.07666551321744919, -0.07660691440105438, -0.07607953250408173, -0.07664207369089127, -0.07775364071130753, -0.0774959921836853]"
72,4.219809536453456,-4.219809536453456,0,"[-0.08970775455236435, -0.08961879462003708, -0.08882126212120056, -0.08967052400112152, -0.09135252982378006, -0.09096167981624603]"
73,4.218695138392163,-4.218695138392163,0,"[-0.07049892842769623, -0.07046161592006683, -0.07012530416250229, -0.0704837515950203, -0.07119444757699966, -0.07102988660335541]"
74,4.194731928233637,-4.194731928233637,0,"[-0.052466098219156265, -0.0524793341755867, -0.05260143056511879, -0.052471648901700974, -0.052213672548532486, -0.05227305740118027]"
75,4.195097102846753,-4.195097102846753,0,"[-0.09437017887830734, -0.09427525103092194, -0.09342370927333832, -0.09433142840862274, -0.096125029027462, -0.09570971131324768]"
